date,n_selected_lasso,n_selected_en,alpha_en,lambda_en,lambda_lasso,pc_k
2006-09-01,5,5,0.9,0.012744725134613116,0.011470252621151806,4
2006-10-01,14,15,0.9,0.005427733901010014,0.004884960510909015,3
2006-11-01,6,6,0.7000000000000001,0.0174461710244072,0.01221231971708504,3
2006-12-01,4,6,0.7000000000000001,0.0174461710244072,0.01221231971708504,5
2007-01-01,2,10,0.1,0.10429674216936453,0.020003179206563398,4
2007-02-01,1,1,0.9,0.022225754673959326,0.020003179206563398,4
2007-03-01,3,3,0.9,0.016494424883536207,0.01484498239518259,4
2007-04-01,3,3,0.9,0.016297574165164884,0.014667816748648397,4
2007-05-01,3,3,0.9,0.016297574165164884,0.014667816748648397,4
2007-06-01,3,3,0.9,0.015651747188509712,0.014086572469658741,4
2007-07-01,4,4,0.9,0.015651747188509712,0.014086572469658741,4
2007-08-01,4,4,0.9,0.014942627532371001,0.013448364779133904,4
2007-09-01,4,4,0.9,0.01573402186306105,0.014160619676754945,4
2007-10-01,4,4,0.9,0.01573402186306105,0.014160619676754945,4
2007-11-01,5,5,0.6,0.018771247860219536,0.012360852812013068,4
2007-12-01,5,5,0.9,0.01373428090223674,0.012360852812013068,4
2008-01-01,5,5,0.7000000000000001,0.016042140723703243,0.012324360748091134,4
2008-02-01,5,6,0.4,0.026221613771533814,0.011511275497397633,4
2008-03-01,5,5,0.9,0.01279030610821959,0.011511275497397633,4
2008-04-01,4,4,0.6,0.01865932579690455,0.012287152216221288,4
2008-05-01,4,4,0.9,0.013652391351356987,0.012287152216221288,4
2008-06-01,4,4,0.9,0.014168683468969136,0.012751815122072224,4
2008-07-01,4,4,0.9,0.014714801506575354,0.013243321355917818,4
2008-08-01,4,4,0.9,0.012216486722333705,0.010994838050100333,4
2008-09-01,13,15,0.2,0.017483244605617464,0.003496648921123493,4
2008-10-01,12,12,0.9,0.005636709870069717,0.005073038883062743,4
2008-11-01,12,12,0.9,0.005770164161632199,0.00519314774546898,5
2008-12-01,7,7,0.9,0.00793806452945172,0.007144258076506546,4
2009-01-01,6,6,0.9,0.00793806452945172,0.007144258076506546,4
2009-02-01,9,8,0.9,0.006424536915663582,0.005782083224097224,4
2009-03-01,8,8,0.9,0.007050921333805347,0.006345829200424813,4
2009-04-01,9,11,0.9,0.006599709929329819,0.006518856150046568,4
2009-05-01,10,9,0.9,0.007841663592131494,0.007057497232918342,4
2009-06-01,10,10,0.9,0.007841663592131494,0.007057497232918342,4
2009-07-01,7,8,0.9,0.007762225806447583,0.006986003225802826,4
2009-08-01,8,8,0.9,0.008519033240054565,0.007667129916049109,4
2009-09-01,6,6,0.9,0.00850971496815397,0.007658743471338569,4
2009-10-01,6,6,0.9,0.008243469611034022,0.00741912264993062,4
2009-11-01,6,6,0.9,0.008243469611034022,0.00741912264993062,4
2009-12-01,7,19,0.1,0.035001684580898876,0.006713009003352968,4
2010-01-01,7,20,0.1,0.03189223139141684,0.006713009003352968,4
2010-02-01,7,19,0.1,0.033136486700693024,0.006355280787903309,4
2010-03-01,10,20,0.1,0.029748229182515847,0.005705443401573215,4
2010-04-01,10,20,0.1,0.029748229182515847,0.005705443401573215,4
2010-05-01,8,19,0.1,0.03264605324216444,0.00626122005162536,4
2010-06-01,7,17,0.1,0.03264605324216444,0.00626122005162536,4
2010-07-01,3,18,0.1,0.03825495105044646,0.018601858542322373,5
2010-08-01,3,18,0.1,0.03955246303942251,0.015967397591015103,5
2010-09-01,3,18,0.1,0.03955246303942251,0.015967397591015103,5
2010-10-01,3,17,0.1,0.039107087271573304,0.014385071875489217,5
2010-11-01,3,17,0.1,0.039107087271573304,0.014385071875489217,5
2010-12-01,3,18,0.1,0.03581048048640019,0.014456752776223275,5
2011-01-01,3,18,0.1,0.03565049755176605,0.014392167389403375,5
2011-02-01,3,17,0.1,0.03565049755176605,0.014392167389403375,5
2011-03-01,3,17,0.1,0.03407101604574371,0.011419250769909446,5
2011-04-01,3,17,0.1,0.03407101604574371,0.011419250769909446,5
2011-05-01,3,13,0.1,0.03817675395353231,0.011658629037037247,5
2011-06-01,3,13,0.1,0.03716795875920267,0.011350557560888423,5
2011-07-01,3,13,0.1,0.03716795875920267,0.012457222910732918,5
2011-08-01,3,16,0.1,0.03819023103601556,0.011662744743295702,5
2011-09-01,3,16,0.1,0.03819023103601556,0.011662744743295702,5
2011-10-01,3,14,0.1,0.04239298938320797,0.011796101119591219,5
2011-11-01,3,14,0.1,0.043249636301373746,0.012034468213242609,5
2011-12-01,3,14,0.1,0.043249636301373746,0.012034468213242609,5
2012-01-01,3,13,0.1,0.043802774004795125,0.012188382064979653,5
2012-02-01,3,14,0.1,0.043802774004795125,0.012188382064979653,5
2012-03-01,3,13,0.1,0.04324981797677473,0.012034518765502121,5
2012-04-01,3,13,0.1,0.046490076912674434,0.010739810743511963,5
2012-05-01,3,11,0.1,0.046490076912674434,0.011786929032633441,5
2012-06-01,3,11,0.1,0.04747717091457668,0.009993489382779804,5
2012-07-01,3,11,0.1,0.04747717091457668,0.009993489382779804,5
2012-08-01,3,3,0.9,0.014082737508447834,0.012674463757603055,5
2012-09-01,3,3,0.9,0.014404702794952925,0.012964232515457634,5
2012-10-01,3,3,0.9,0.013125028699673798,0.011812525829706419,5
2012-11-01,3,3,0.9,0.01317358659504607,0.01185622793554146,5
2012-12-01,3,3,0.9,0.01317358659504607,0.01185622793554146,5
2013-01-01,3,3,0.9,0.012902610659885624,0.011612349593897066,5
2013-02-01,3,11,0.1,0.048798581037517115,0.017949971338234328,5
2013-03-01,3,9,0.1,0.048798581037517115,0.017949971338234328,5
2013-04-01,3,8,0.1,0.05121431675341316,0.02067530806207597,5
2013-05-01,3,8,0.1,0.05121431675341316,0.02067530806207597,5
2013-06-01,3,3,0.9,0.019602771633963793,0.01764249447056741,5
2013-07-01,2,2,0.9,0.031773259243633584,0.028595933319270225,5
2013-08-01,2,2,0.9,0.031773259243633584,0.028595933319270225,5
2013-09-01,0,0,0.1,0.5279778329440618,0.05279778329440621,5
2013-10-01,0,0,0.1,0.5279778329440618,0.05279778329440621,5
2013-11-01,0,0,0.1,0.5087595266450398,0.050875952664503996,4
2013-12-01,0,0,0.1,0.5111699802761706,0.05111699802761708,4
2014-01-01,0,0,0.1,0.5111699802761706,0.05111699802761708,4
2014-02-01,0,3,0.1,0.21161936406980147,0.04888681780503596,4
2014-03-01,0,3,0.1,0.21161936406980147,0.04888681780503596,5
2014-04-01,0,3,0.1,0.18500357488240843,0.04690514950143992,5
2014-05-01,0,3,0.1,0.18083232807882166,0.038063471683486914,5
2014-06-01,0,3,0.1,0.18083232807882166,0.034682017766449816,5
2014-07-01,0,3,0.1,0.2145495384613704,0.04114867614521585,5
2014-08-01,0,3,0.1,0.19548954878776842,0.03749314116697856,5
2014-09-01,0,3,0.1,0.17681469284633747,0.03721779797828756,5
