date,actual,Historical average,Elastic Net,Lasso,Ridge,PC,PLS,Mean,Median,Trimmed mean,DMSPE(1),DMSPE(0.9)
2006-09-01,-0.07563414699602822,0.012668644969371345,-0.009795819495081938,-0.010139766619645486,0.005199111992665375,-0.028848005627123183,-0.010040550693805135,0.010252336646394052,0.012833046387287722,0.01041736879598765,0.010252336646394052,0.010252336646394052
2006-10-01,0.00272598862428674,0.011221058215840204,0.01451490948535942,0.014413770799841337,0.01029441084716101,0.004399449231437268,-0.010168153817092584,0.008825781093517237,0.009469173197725443,0.007568320798849546,0.008825781093517237,0.008825781093517237
2006-11-01,0.04216578670035442,0.011084040964363535,0.03739635786707911,0.03949888840668345,0.02019337819257926,0.013159236644862005,0.010093966049044088,0.010973775055290375,0.011862875204845883,0.010005225630139511,0.010202159832146304,0.010095497191478273
2006-12-01,-0.1297627505287111,0.011577402007791962,-0.0034257429571481982,-0.004374615669432409,0.0018696004051039585,0.008607433647133018,-0.018240513742054244,0.008503633383378707,0.008520635311761188,0.008975286319561685,0.006768717746362501,0.006914821185576383
2007-01-01,0.0800169607781025,0.009368962124409103,-0.01010160050371588,-0.005931107271135333,-0.01678135925780357,-0.02416044120992881,-0.05155524490729437,0.0013360171937170338,2.7513608265314826e-4,9.022599786004916e-4,-3.5226855475133014e-4,-2.7610531112180525e-4
2007-02-01,0.01419250892350731,0.010455854411389,0.019220781075283327,0.019478134714216576,0.005680868268079792,0.0054423202693089055,-0.01719429361198558,0.007231395704290133,0.00697107674258856,0.007089294414124741,0.006830819095202981,0.0067802601403908515
2007-03-01,0.05392322763483515,0.010512470388845339,0.021820150636065475,0.022130570234642256,0.009480791163100894,0.020042879507073615,0.0016618244134657522,0.009506392775712854,0.011256040981695244,0.01004313404647434,0.010071136098093271,0.010000781403832093
2007-04-01,-0.01228522502324658,0.011160392138785485,-0.007138606620291036,-0.007461140883754552,0.011528935384451306,0.014733461507589467,0.016086263660241133,0.011689082520445756,0.012109486256645971,0.011711816276339928,0.011294130266254278,0.011379375789732783
2007-05-01,0.05925558042080681,0.010815603651108542,-0.00814734209522979,-0.00854062009234411,-0.0013816969242139649,-0.016942300191290113,-0.019626047875022874,0.0076086196759389746,0.008913834523051225,0.008256721189837701,0.007236419352635086,0.007321846078338367
2007-06-01,0.0919269501951634,0.01151763229994475,0.021228975994782205,0.02151050371183067,0.024396054376290964,0.02977293051778248,0.038478927132487406,0.01423756447505087,0.014246500202079293,0.01407070588860667,0.014492217425946854,0.014444967259369407
2007-07-01,-0.02433997409018395,0.012666336841305015,0.023974921868418222,0.024234392066862863,0.012968810714389219,0.01705866839194908,0.02166439370908544,0.013577894474476812,0.013239997136799332,0.013423156036759193,0.013736531863329075,0.01369758288566908
