date,futures_price,volume,n_daily_obs
2000-09-01,30.860000610351562,1641888,20
2000-10-01,32.689998626708984,1389941,22
2000-11-01,33.79999923706055,1259132,20
2000-12-01,26.799999237060547,1244493,20
2001-01-01,28.700000762939453,1418354,21
2001-02-01,27.420000076293945,1323734,19
2001-03-01,26.399999618530273,1461571,22
2001-04-01,28.459999084472656,1291480,20
2001-05-01,28.3700008392334,1209471,22
2001-06-01,26.25,1579933,21
2001-07-01,26.350000381469727,1400644,21
2001-08-01,27.200000762939453,1463964,23
2001-09-01,23.43000030517578,926078,16
2001-10-01,21.18000030517578,1379829,23
2001-11-01,19.440000534057617,1511304,20
2001-12-01,19.84000015258789,1268254,19
2002-01-01,19.479999542236328,1581339,21
2002-02-01,21.850000381469727,1499673,19
2002-03-01,26.229999542236328,1641453,20
2002-04-01,27.290000915527344,1848411,22
2002-05-01,25.350000381469727,1956382,22
2002-06-01,26.860000610351562,1480771,20
2002-07-01,27.020000457763672,1677541,21
2002-08-01,28.979999542236328,1816652,22
2002-09-01,30.469999313354492,1559981,20
2002-10-01,27.219999313354492,1948709,23
2002-11-01,26.889999389648438,1620891,19
2002-12-01,31.200000762939453,1712138,21
2003-01-01,33.5099983215332,1943096,21
2003-02-01,36.599998474121094,1766013,19
2003-03-01,31.040000915527344,1693911,21
2003-04-01,25.799999237060547,1516421,21
2003-05-01,29.559999465942383,1669673,21
2003-06-01,30.190000534057617,1584286,21
2003-07-01,30.540000915527344,1606181,22
2003-08-01,31.56999969482422,1784765,21
2003-09-01,29.200000762939453,1683600,21
2003-10-01,29.110000610351562,1779100,23
2003-11-01,30.40999984741211,1632868,18
2003-12-01,32.52000045776367,1599008,21
2004-01-01,33.04999923706055,1903087,19
2004-02-01,36.15999984741211,1697053,19
2004-03-01,35.7599983215332,2041599,23
2004-04-01,37.380001068115234,2019727,21
2004-05-01,39.880001068115234,1949567,20
2004-06-01,37.04999923706055,2004205,21
2004-07-01,43.79999923706055,1820316,21
2004-08-01,42.119998931884766,2289972,22
2004-09-01,49.63999938964844,2097767,21
2004-10-01,51.7599983215332,2157611,21
2004-11-01,49.130001068115234,1920477,20
2004-12-01,43.45000076293945,1899663,21
2005-01-01,48.20000076293945,1968166,20
2005-02-01,51.75,1686561,19
2005-03-01,55.400001525878906,2181030,22
2005-04-01,49.720001220703125,2196698,21
2005-05-01,51.970001220703125,2130537,21
2005-06-01,56.5,2242541,22
2005-07-01,60.56999969482422,2135377,20
2005-08-01,68.94000244140625,2488887,23
2005-09-01,66.23999786376953,2269251,21
2005-10-01,59.7599983215332,2023131,21
2005-11-01,57.31999969482422,1971974,20
2005-12-01,61.040000915527344,1891467,21
2006-01-01,67.91999816894531,2257664,20
2006-02-01,61.40999984741211,2326517,19
2006-03-01,66.62999725341797,2386391,23
2006-04-01,71.87999725341797,2170291,19
2006-05-01,71.29000091552734,2533163,22
2006-06-01,73.9800033569336,2237163,22
2006-07-01,74.4000015258789,1871824,19
2006-08-01,70.26000213623047,2089659,23
2006-09-01,62.90999984741211,2605508,21
2006-10-01,58.72999954223633,3473023,22
2006-11-01,63.130001068115234,3672965,20
2006-12-01,61.04999923706055,3343134,20
2007-01-01,58.13999938964844,5193859,21
2007-02-01,61.790000915527344,4971135,19
2007-03-01,65.87000274658203,4948480,22
2007-04-01,65.70999908447266,4252646,20
2007-05-01,64.01000213623047,4884743,22
2007-06-01,70.68000030517578,4625026,21
2007-07-01,78.20999908447266,4460682,21
2007-08-01,74.04000091552734,5184742,23
2007-09-01,81.660003662109375,4936822,19
2007-10-01,94.529998779296875,6263924,23
2007-11-01,88.70999908447266,6345033,21
2007-12-01,95.9800033569336,4496780,20
2008-01-01,91.75,5744195,21
2008-02-01,101.83999633789062,5352385,20
2008-03-01,101.58000183105469,6349475,20
