date,wti_return,rac_return,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,r,r_rac
1986-02-01,-0.3923685595821458,-0.31778613151175295,7.06,8.7,0.003646312153020581,0.001081766199650662,155.93292,-37.798318,0.011779736587589795,0.03305698586368955,-0.0625203569813344,0.004004650740600191,0.011831812911618833,-0.2999999999999998,0.61,78.4262,-0.19828141874028837,-0.2363303730780677
1986-03-01,-0.19828141874028837,-0.2363303730780677,6.56,7.78,-0.0018214941283911656,0.0013603065854937387,159.46768,-51.750464,0.0039322825110339465,1.4169408872888312e-4,-0.15684247149296926,0.004307085422086132,0.0038083294763069375,0.5,-0.53,77.949,0.021748246996848408,-0.07455456703946028
1986-04-01,0.021748246996848408,-0.07455456703946028,6.06,7.3,-0.00548447444216027,0.002462192809861541,160.1981,-55.391967,-0.01759640695324549,0.02728588127108189,0.006715941965436123,0.008006384425382151,-0.0174650871869515,0,-0.2,77.6147,0.1777465777137026,-0.0012363309705634151
1986-05-01,0.1777465777137026,-0.0012363309705634151,6.15,7.71,-0.003673098711860945,0.0013575959047837202,150.36626,-61.554545,-0.01666984956934492,-0.009161818109102882,0.20939485112248946,0.009703664898015774,-0.01676396943179892,-0.10000000000000053,0.52,77.7853,-0.13923996130108884,-0.07607858652319122
1986-06-01,-0.13923996130108884,-0.07607858652319122,6.21,7.8,0.0027560881019796923,0.0016017804561131719,132.63792,-66.390594,-0.0029375232963797515,-0.027464434294561357,0.14291986454326633,0.010500621511068786,-0.0033490846172927746,0.10000000000000053,-0.15,77.7857,-0.14826201245216053,-0.11675979641443135
1986-07-01,-0.14826201245216053,-0.11675979641443135,5.83,7.3,0.00366300775873718,0.0024615591164230998,122.51177,-69.350632,-0.024627554738360757,-0.006061420005678997,0.08671721608149241,0.007784539677178515,-0.024569042769268634,0,-0.13,77.4179,0.26363926121185877,0.08342158351923779
1986-08-01,0.26363926121185877,0.08342158351923779,5.53,7.17,0.00091365926867492675,0.001244608005753994,132.11963,-80.975396,0.004281670604155963,0.045318412554783194,0.01944297974689846,0.00825755896359226,0.004166350046364897,-0.20000000000000018,0.34,77.7991,-0.018991974627315944,0.07568661144115119
1986-09-01,-0.018991974627315944,0.07568661144115119,5.21,7.45,9.128252573598061e-4,0.004341610261137815,127.5525,-78.310921,-0.03358305497739167,-0.0269396627871874,0.027753476659048815,0.007547778146982154,-0.03346617481213077,-0.09999999999999964,0.08,77.9132,1.9892155295186953e-4,-0.0072788933182379445
1986-10-01,1.9892155295186953e-4,-0.0072788933182379445,5.18,7.43,0.0036429912785012064,9.835421497520634e-4,132.01833,-54.270229,-0.005508336284282933,0.015170787535650376,0.034786116085415486,0.008016150408901801,-0.00542919611787962,0.09999999999999964,0.65,78.0125,0.019435902357945345,0.050027638143012254
1986-11-01,0.019435902357945345,0.050027638143012254,5.35,7.25,0.0018165309263977747,0.0017420654714805314,111.50927,-48.82171,0.010867725042858822,0.01787661055355194,-0.12970534536057876,0.007320020734366217,0.010608969510192523,0,-0.26,78.1826,0.05321320428515497,0.04778808901581888
1986-12-01,0.05321320428515497,0.04778808901581888,5.53,7.11,0.001813237124181022,0.0012575063091309002,115.02029,-51.140698,-8.317985150743112e-4,-0.014079790294521999,0.04339844180621277,0.0051589551575768056,-7.017711946808447e-4,-0.09999999999999964,0.02,78.3314,0.14100539572094073,0.14379787032879143
1987-01-01,0.14100539572094073,0.14379787032879143,5.43,7.08,0.0036166404701880595,0.0024423719917124735,108.96811,-60.130576,-0.007158226700170189,-0.023452980642941768,-0.04498376656355951,0.009835601364466484,-0.007112159341864377,-0.3000000000000007,0.95,78.9451,-0.05304486339621439,0.028126470444005403
1987-02-01,-0.05304486339621439,0.028126470444005403,5.59,7.25,0.005400553180000323,0.001399822022020933,122.11428,-46.533412,0.015209418663529206,0.005434689621822031,-0.006138475567109225,0.005811526069667394,0.015024364518171573,0,-0.97,78.4763,0.026944111558353523,0.012784072404483204
