variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.975609756097561
svar,0.967479674796748
MA_2_9,0.7886178861788617
OBV_1_9,0.7886178861788617
cfnai,0.7804878048780488
m2_growth,0.7235772357723578
OBV_2_12,0.6666666666666666
unrate_change,0.6341463414634146
ip_crude_growth,0.5203252032520326
MA_1_9,0.43902439024390244
oil_prod_growth,0.3008130081300813
MA_1_12,0.23577235772357724
inflation,0.21951219512195122
OBV_1_12,0.21951219512195122
epu,0.21138211382113822
oil_import_growth,0.18699186991869918
MOM_9,0.18699186991869918
oil_stock_growth,0.06504065040650407
kilian,0.04878048780487805
tbill,0.024390243902439025
OBV_2_9,0.016260162601626018
long_yield,0
capacity_util,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_12,0
OBV_3_9,0
OBV_3_12,0
