variable,frequency
MOM_1,1
MOM_6,0.991869918699187
MOM_2,0.926829268292683
svar,0.7967479674796748
MOM_3,0.7560975609756098
OBV_1_9,0.6747967479674797
cfnai,0.21951219512195122
inflation,0.2032520325203252
ip_crude_growth,0.18699186991869918
oil_prod_growth,0.12195121951219512
m2_growth,0.06504065040650407
epu,0.024390243902439025
oil_import_growth,0.024390243902439025
unrate_change,0.008130081300813009
tbill,0
long_yield,0
kilian,0
oil_stock_growth,0
capacity_util,0
MA_1_9,0
MA_1_12,0
MA_2_9,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_1_12,0
OBV_2_9,0
OBV_2_12,0
OBV_3_9,0
OBV_3_12,0
