variable,frequency
svar,1
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.991869918699187
m2_growth,0.8292682926829268
cfnai,0.8292682926829268
unrate_change,0.8211382113821138
MA_2_9,0.7967479674796748
OBV_2_12,0.7967479674796748
OBV_1_9,0.7886178861788617
ip_crude_growth,0.7642276422764228
oil_prod_growth,0.6747967479674797
MA_1_9,0.5284552845528455
OBV_1_12,0.3821138211382114
epu,0.34146341463414637
MA_1_12,0.2601626016260163
inflation,0.21951219512195122
oil_import_growth,0.21138211382113822
MOM_9,0.1951219512195122
oil_stock_growth,0.13008130081300814
MOM_12,0.11382113821138211
kilian,0.0975609756097561
tbill,0.06504065040650407
MA_2_12,0.04065040650406504
OBV_3_9,0.04065040650406504
OBV_2_9,0.032520325203252036
capacity_util,0.024390243902439025
OBV_3_12,0.024390243902439025
long_yield,0
MA_3_9,0
MA_3_12,0
