variable,frequency
MOM_1,1
svar,0.8292682926829268
MOM_2,0.8048780487804879
oil_stock_growth,0.7560975609756098
inflation,0.5040650406504065
MOM_12,0.43089430894308944
MA_3_9,0.37398373983739835
MA_1_9,0.3252032520325203
OBV_2_9,0.3170731707317073
long_yield,0.2926829268292683
MA_1_12,0.2926829268292683
MOM_6,0.2926829268292683
MA_2_12,0.2764227642276423
cfnai,0.25203252032520324
capacity_util,0.24390243902439024
ip_crude_growth,0.17886178861788618
tbill,0.15447154471544716
unrate_change,0.08943089430894309
oil_import_growth,0.08130081300813008
MOM_3,0.08130081300813008
kilian,0.06504065040650407
OBV_2_12,0.016260162601626018
m2_growth,0.008130081300813009
OBV_1_9,0.008130081300813009
epu,0
oil_prod_growth,0
MA_2_9,0
MA_3_12,0
MOM_9,0
OBV_1_12,0
OBV_3_9,0
OBV_3_12,0
