variable,frequency
svar,1
MOM_1,1
MOM_2,1
MOM_3,1
MOM_6,1
unrate_change,0.8699186991869918
m2_growth,0.8617886178861789
cfnai,0.8455284552845529
OBV_2_12,0.8048780487804879
MA_2_9,0.7967479674796748
OBV_1_9,0.7967479674796748
ip_crude_growth,0.7886178861788617
oil_prod_growth,0.7479674796747967
OBV_1_12,0.6991869918699187
MA_1_9,0.6016260162601627
epu,0.44715447154471544
MA_1_12,0.2682926829268293
inflation,0.21951219512195122
oil_import_growth,0.21138211382113822
MOM_9,0.2032520325203252
OBV_2_9,0.18699186991869918
oil_stock_growth,0.16260162601626016
MOM_12,0.12195121951219512
kilian,0.0975609756097561
tbill,0.07317073170731707
MA_2_12,0.056910569105691054
OBV_3_9,0.056910569105691054
OBV_3_12,0.04878048780487805
capacity_util,0.032520325203252036
long_yield,0
MA_3_9,0
MA_3_12,0
