variable,frequency
MOM_1,1
MOM_6,1
MA_1_9,0.943089430894309
OBV_2_9,0.926829268292683
oil_stock_growth,0.8536585365853658
svar,0.8455284552845529
MOM_2,0.8048780487804879
cfnai,0.7560975609756098
MOM_12,0.6504065040650406
inflation,0.6422764227642277
unrate_change,0.5772357723577236
capacity_util,0.4634146341463415
MOM_3,0.3902439024390244
MA_1_12,0.3821138211382114
MA_3_9,0.3821138211382114
tbill,0.3252032520325203
long_yield,0.3170731707317073
MA_2_12,0.2845528455284553
OBV_2_12,0.2764227642276423
kilian,0.18699186991869918
ip_crude_growth,0.17886178861788618
m2_growth,0.14634146341463414
oil_import_growth,0.13008130081300814
OBV_1_12,0.10569105691056911
epu,0.04065040650406504
OBV_1_9,0.04065040650406504
OBV_3_12,0.016260162601626018
oil_prod_growth,0
MA_2_9,0
MA_3_12,0
MOM_9,0
OBV_3_9,0
