variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.991869918699187
svar,0.983739837398374
cfnai,0.8048780487804879
MA_2_9,0.7967479674796748
OBV_1_9,0.7886178861788617
m2_growth,0.7560975609756098
unrate_change,0.7317073170731707
ip_crude_growth,0.6991869918699187
OBV_2_12,0.6747967479674797
MA_1_9,0.4959349593495935
oil_prod_growth,0.4715447154471545
epu,0.2764227642276423
OBV_1_12,0.2764227642276423
MA_1_12,0.24390243902439024
inflation,0.21951219512195122
oil_import_growth,0.2032520325203252
MOM_9,0.1951219512195122
MOM_12,0.11382113821138211
oil_stock_growth,0.0975609756097561
tbill,0.056910569105691054
kilian,0.04878048780487805
capacity_util,0.024390243902439025
OBV_2_9,0.024390243902439025
OBV_3_9,0.024390243902439025
long_yield,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
OBV_3_12,0
