variable,frequency
MOM_1,1
svar,0.8048780487804879
MOM_2,0.7560975609756098
MOM_6,0.24390243902439024
inflation,0.23577235772357724
MA_3_9,0.21951219512195122
oil_stock_growth,0.2032520325203252
MOM_12,0.2032520325203252
cfnai,0.18699186991869918
ip_crude_growth,0.17886178861788618
OBV_2_9,0.13008130081300814
MA_2_12,0.07317073170731707
MA_1_9,0.056910569105691054
oil_import_growth,0.04878048780487805
kilian,0.032520325203252036
unrate_change,0.024390243902439025
capacity_util,0.016260162601626018
tbill,0.008130081300813009
long_yield,0
epu,0
oil_prod_growth,0
m2_growth,0
MA_1_12,0
MA_2_9,0
MA_3_12,0
MOM_3,0
MOM_9,0
OBV_1_9,0
OBV_1_12,0
OBV_2_12,0
OBV_3_9,0
OBV_3_12,0
