variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
svar,0.7967479674796748
MOM_3,0.7967479674796748
OBV_1_9,0.7398373983739838
m2_growth,0.35772357723577236
cfnai,0.25203252032520324
OBV_2_12,0.21951219512195122
ip_crude_growth,0.21138211382113822
inflation,0.2032520325203252
oil_prod_growth,0.17073170731707318
MA_1_9,0.07317073170731707
MA_2_9,0.07317073170731707
epu,0.04065040650406504
oil_import_growth,0.032520325203252036
unrate_change,0.032520325203252036
tbill,0
long_yield,0
kilian,0
oil_stock_growth,0
capacity_util,0
MA_1_12,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_1_12,0
OBV_2_9,0
OBV_3_9,0
OBV_3_12,0
