date,actual,Historical average,Screening 1,Screening 2,Screening 3,Screening 4,Screening 5,Screening 6,Screening 7,Screening 8,Screening 9,Screening 10,Screening 11,Screening 12,Screening 13,Screening 14,Screening 15,Screening CV,Boosting 1,Boosting 5,Boosting 10,Boosting 25,Boosting 50,Boosting 100,Boosting 200,Boosting 300,Boosting CV
2006-09-01,-0.07563414699602822,0.012668644969371345,-0.025373801616645264,-0.030843791291421632,-0.022757527974614264,-0.01554040409706482,-0.015822222469238405,-0.03140493011921039,-0.030976398252290843,-0.03194507484777316,-0.029435167171775675,-0.025823147485736955,0.008585333386374107,0.0010980364123402376,0.004333630451449056,0.00772956886860679,0.004282218790361589,-0.025373801616645264,0.008864400310769682,-0.0011394615826094633,-0.008039382961625341,-0.008182972963427758,-0.006067668627412796,-0.00576688607128446,-0.004385879708329067,-3.7609247064778286e-4,-0.009936771904732786
2006-10-01,0.00272598862428674,0.011221058215840204,-0.027467982674119547,0.02879748218931371,0.027299254070541644,0.02744817946652008,0.022160951938851422,0.01675571720750682,0.017519234519264876,0.017697791194955726,0.01811435164877315,0.02988400003880062,0.025362173396241274,0.0017608566349320738,0.0024159169019697794,0.008990201096489266,0.017656854107258587,0.02988400003880062,0.0073521541268442275,0.013088602546366516,0.010881976643875572,0.016512007407608047,0.014040151803442888,0.012479272811237742,0.012004763399960643,0.007121017600884539,0.012691916033330291
2006-11-01,0.04216578670035442,0.011084040964363535,0.03631665230662492,0.07220381386816044,0.057856483702207945,0.057447843602802195,0.046562550818076476,0.03416096618223983,0.034103793649150435,0.034748974649462194,0.03257887202080605,0.04299682153471423,0.05602858635936818,0.032508998389099396,0.03144022980488422,0.03765629174734678,0.040367994101746824,0.03631665230662492,0.013607302098589673,0.02496151733612332,0.0350997675608247,0.0420884900583679,0.04467029170120754,0.043048890707720645,0.044178124745505025,0.04056536772826587,0.040724342557426345
2006-12-01,-0.1297627505287111,0.011577402007791962,-0.026260223822183286,-0.01013495697706146,-0.006033079897227503,-0.014518072081749846,-0.023365623435055688,-0.02484796866761757,-0.024708377331671243,-0.024495656108745142,-0.022727993254274534,-0.015488313811170813,-0.018100620385756966,-0.019743665109089245,-0.023085791862842212,-0.02979125305723839,-0.034229740923316404,-0.026260223822183286,0.0077936394247944355,-1.518635281736007e-4,-0.0031838290956347952,-0.01184523619703444,-0.014990317967996613,-0.017759428569410585,-0.018296659746514864,-0.021550799513864963,-0.00901097824801489
2007-01-01,0.0800169607781025,0.009368962124409103,-0.03024109023397284,-0.04192080170824021,-0.06782986778799015,-0.0436165170176495,-0.038957935175603524,-0.036246644779895025,-0.046575133516560924,-0.048000521746764,-0.050056398840545274,-0.06455200428087739,-0.06711678919653613,-0.10279951209766672,-0.10050789935169259,-0.09740755802517985,-0.09201231397200994,-0.03024109023397284,0.005407956888570908,-0.0068517504168718844,-0.01231100034073696,-0.032472297795123395,-0.04043851206990566,-0.04386567110991949,-0.05091988896249768,-0.0554071603923034,-0.0068517504168718844
2007-02-01,0.01419250892350731,0.010455854411389,0.03647057689593359,0.03456270527059555,0.009689432173793557,-0.0032292918406730924,-0.0021577231514625806,-0.001995714137269053,-0.005079441473630108,0.0057533895183489335,0.008075937289566794,0.0013286316428115334,0.004353328035413347,0.005263498281954437,-0.01744556875781056,-0.0147296987655222,-0.014039674776549792,0.03647057689593359,0.013057326659843459,0.021109143416034853,0.018177455185902087,0.018549793945172335,0.017190219884691018,0.014552194296966508,0.0069350607520942695,0.001415396009109114,0.021109143416034853
2007-03-01,0.05392322763483515,0.010512470388845339,0.035899344383820087,0.02370176507009844,0.028797976106723158,0.031042571558885283,0.03093652898517319,0.03081246257363706,0.029320238449431067,0.014000461476144747,0.015088271827972715,0.01659906464094064,0.016912314232458914,0.016936905546081474,-2.5289291660234026e-4,0.0020491192330329214,0.001530076908623234,0.035899344383820087,0.013051157788342815,0.020908649158527453,0.021662749117671905,0.02210201205911779,0.019923327611322993,0.018178791660136053,0.019215104802254135,0.02171130926830329,0.023468326696443605
2007-04-01,-0.01228522502324658,0.011160392138785485,-0.026157458715007097,-0.03489401668640154,-0.024326790869759706,-0.01908281038249595,-0.018101935424619447,-0.018125778156245883,-0.027158076282944126,-0.0273135608952934,-0.01452962535211574,-0.009587916452238585,-0.00868276949354212,-0.008836567363764387,-0.02447662417144962,-0.023387288657056624,-0.024369817689335466,-0.026157458715007097,0.0074286070534062285,-0.004121640964351109,-0.00822969618185191,-0.01408008870824652,-0.01919583170485097,-0.022916788458247322,-0.02304264205341582,-0.03848443446561662,-0.010459895844539087
2007-05-01,0.05925558042080681,0.010815603651108542,-0.02566202179744422,-0.024208177615655305,-0.028241664203960435,-0.018871111374116806,-0.01640875616092421,-0.016104093985545645,-0.013118322858475286,-0.016989193511413966,-0.019509835812635754,-0.013250496977267507,-0.014229536759067851,-0.01949075659619237,-0.034887534274766464,-0.03162853658944448,-0.028301124477866316,-0.02566202179744422,0.007167841106253268,-0.004122348746328294,-0.00984047366388144,-0.016375977496527982,-0.02224433735934556,-0.026163469906903835,-0.019912021549804985,-0.01871047912468756,-0.011175427057596228
2007-06-01,0.0919269501951634,0.01151763229994475,0.03634994146509546,0.023769761381055375,0.02213421448464029,0.023017252530591087,0.027192416432449063,0.027202725752827197,0.02550435376480761,0.026169119148965993,0.02611356602188118,0.02713461796803814,0.029126018390078806,0.030430767034108522,0.029990723522753397,0.03509888035524687,0.02329137366032256,0.03634994146509546,0.014000863216459821,0.02168671122616562,0.02091799742612819,0.02605439651695578,0.030527226990582818,0.04168703769342766,0.05335360774106615,0.05592181271744487,0.02211087127099174
