variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.8943089430894309
svar,0.7967479674796748
OBV_1_9,0.7398373983739838
m2_growth,0.4878048780487805
unrate_change,0.3008130081300813
MA_2_9,0.2845528455284553
cfnai,0.25203252032520324
OBV_2_12,0.24390243902439024
ip_crude_growth,0.21951219512195122
inflation,0.21138211382113822
oil_prod_growth,0.21138211382113822
MA_1_9,0.12195121951219512
OBV_1_12,0.0975609756097561
epu,0.056910569105691054
oil_import_growth,0.056910569105691054
kilian,0.024390243902439025
tbill,0
long_yield,0
oil_stock_growth,0
capacity_util,0
MA_1_12,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_2_9,0
OBV_3_9,0
OBV_3_12,0
