model,variable,frequency
Screening_7,OBV_1_9,0.7398373983739838
Screening_7,m2_growth,0.35772357723577236
Screening_7,cfnai,0.25203252032520324
Screening_7,OBV_2_12,0.21951219512195122
Screening_7,ip_crude_growth,0.21138211382113822
Screening_7,inflation,0.2032520325203252
Screening_7,oil_prod_growth,0.17073170731707318
Screening_7,MA_1_9,0.07317073170731707
Screening_7,MA_2_9,0.07317073170731707
Screening_7,epu,0.04065040650406504
Screening_7,oil_import_growth,0.032520325203252036
Screening_7,unrate_change,0.032520325203252036
Screening_7,tbill,0
Screening_7,long_yield,0
Screening_7,kilian,0
Screening_7,oil_stock_growth,0
Screening_7,capacity_util,0
Screening_7,MA_1_12,0
Screening_7,MA_2_12,0
Screening_7,MA_3_9,0
Screening_7,MA_3_12,0
Screening_7,MOM_9,0
Screening_7,MOM_12,0
Screening_7,OBV_1_12,0
Screening_7,OBV_2_9,0
Screening_7,OBV_3_9,0
Screening_7,OBV_3_12,0
Screening_8,MOM_1,1
Screening_8,MOM_2,1
Screening_8,MOM_6,1
Screening_8,MOM_3,0.8943089430894309
Screening_8,svar,0.7967479674796748
Screening_8,OBV_1_9,0.7398373983739838
Screening_8,m2_growth,0.4878048780487805
Screening_8,unrate_change,0.3008130081300813
Screening_8,MA_2_9,0.2845528455284553
Screening_8,cfnai,0.25203252032520324
Screening_8,OBV_2_12,0.24390243902439024
Screening_8,ip_crude_growth,0.21951219512195122
Screening_8,inflation,0.21138211382113822
Screening_8,oil_prod_growth,0.21138211382113822
Screening_8,MA_1_9,0.12195121951219512
Screening_8,OBV_1_12,0.0975609756097561
Screening_8,epu,0.056910569105691054
Screening_8,oil_import_growth,0.056910569105691054
Screening_8,kilian,0.024390243902439025
Screening_8,tbill,0
Screening_8,long_yield,0
Screening_8,oil_stock_growth,0
Screening_8,capacity_util,0
Screening_8,MA_1_12,0
Screening_8,MA_2_12,0
Screening_8,MA_3_9,0
Screening_8,MA_3_12,0
Screening_8,MOM_9,0
Screening_8,MOM_12,0
Screening_8,OBV_2_9,0
Screening_8,OBV_3_9,0
Screening_8,OBV_3_12,0
Screening_9,MOM_1,1
Screening_9,MOM_2,1
Screening_9,MOM_6,1
Screening_9,MOM_3,0.9186991869918699
Screening_9,svar,0.7967479674796748
Screening_9,OBV_1_9,0.7398373983739838
Screening_9,m2_growth,0.6341463414634146
Screening_9,OBV_2_12,0.44715447154471544
Screening_9,cfnai,0.43902439024390244
Screening_9,unrate_change,0.4146341463414634
Screening_9,MA_2_9,0.4146341463414634
Screening_9,MA_1_9,0.23577235772357724
Screening_9,ip_crude_growth,0.22764227642276422
Screening_9,inflation,0.21138211382113822
Screening_9,oil_prod_growth,0.21138211382113822
Screening_9,OBV_1_12,0.10569105691056911
Screening_9,oil_import_growth,0.08130081300813008
Screening_9,epu,0.056910569105691054
Screening_9,kilian,0.032520325203252036
Screening_9,MA_1_12,0.032520325203252036
Screening_9,tbill,0
Screening_9,long_yield,0
Screening_9,oil_stock_growth,0
Screening_9,capacity_util,0
Screening_9,MA_2_12,0
Screening_9,MA_3_9,0
Screening_9,MA_3_12,0
Screening_9,MOM_9,0
Screening_9,MOM_12,0
Screening_9,OBV_2_9,0
Screening_9,OBV_3_9,0
Screening_9,OBV_3_12,0
Screening_10,MOM_1,1
Screening_10,MOM_2,1
Screening_10,MOM_6,1
Screening_10,MOM_3,0.926829268292683
Screening_10,svar,0.8943089430894309
Screening_10,OBV_1_9,0.7398373983739838
Screening_10,m2_growth,0.6585365853658537
Screening_10,cfnai,0.6504065040650406
Screening_10,MA_2_9,0.5772357723577236
Screening_10,OBV_2_12,0.5609756097560976
Screening_10,unrate_change,0.5040650406504065
Screening_10,ip_crude_growth,0.24390243902439024
Screening_10,MA_1_9,0.24390243902439024
Screening_10,oil_prod_growth,0.21951219512195122
Screening_10,inflation,0.21138211382113822
Screening_10,OBV_1_12,0.1951219512195122
Screening_10,MA_1_12,0.13821138211382114
Screening_10,oil_import_growth,0.12195121951219512
Screening_10,epu,0.06504065040650407
Screening_10,kilian,0.04065040650406504
Screening_10,tbill,0.008130081300813009
