variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
MOM_3,0.926829268292683
svar,0.8943089430894309
OBV_1_9,0.7398373983739838
m2_growth,0.6585365853658537
cfnai,0.6504065040650406
MA_2_9,0.5772357723577236
OBV_2_12,0.5609756097560976
unrate_change,0.5040650406504065
ip_crude_growth,0.24390243902439024
MA_1_9,0.24390243902439024
oil_prod_growth,0.21951219512195122
inflation,0.21138211382113822
OBV_1_12,0.1951219512195122
MA_1_12,0.13821138211382114
oil_import_growth,0.12195121951219512
epu,0.06504065040650407
kilian,0.04065040650406504
tbill,0.008130081300813009
long_yield,0
oil_stock_growth,0
capacity_util,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_2_9,0
OBV_3_9,0
OBV_3_12,0
