model,variable,frequency
Boosting_100,long_yield,0.3170731707317073
Boosting_100,MA_2_12,0.2845528455284553
Boosting_100,OBV_2_12,0.2764227642276423
Boosting_100,kilian,0.18699186991869918
Boosting_100,ip_crude_growth,0.17886178861788618
Boosting_100,m2_growth,0.14634146341463414
Boosting_100,oil_import_growth,0.13008130081300814
Boosting_100,OBV_1_12,0.10569105691056911
Boosting_100,epu,0.04065040650406504
Boosting_100,OBV_1_9,0.04065040650406504
Boosting_100,OBV_3_12,0.016260162601626018
Boosting_100,oil_prod_growth,0
Boosting_100,MA_2_9,0
Boosting_100,MA_3_12,0
Boosting_100,MOM_9,0
Boosting_100,OBV_3_9,0
Boosting_200,MA_1_9,1
Boosting_200,MOM_1,1
Boosting_200,MOM_6,1
Boosting_200,OBV_2_9,1
Boosting_200,unrate_change,0.983739837398374
Boosting_200,cfnai,0.9024390243902439
Boosting_200,oil_stock_growth,0.8617886178861789
Boosting_200,svar,0.8455284552845529
Boosting_200,MOM_2,0.8455284552845529
Boosting_200,MOM_3,0.8130081300813008
Boosting_200,inflation,0.7886178861788617
Boosting_200,MOM_12,0.7398373983739838
Boosting_200,MA_1_12,0.4959349593495935
Boosting_200,OBV_2_12,0.4959349593495935
Boosting_200,capacity_util,0.4796747967479675
Boosting_200,MA_3_9,0.4634146341463415
Boosting_200,tbill,0.44715447154471544
Boosting_200,kilian,0.36585365853658536
Boosting_200,long_yield,0.34959349593495936
Boosting_200,MA_2_9,0.34146341463414637
Boosting_200,MA_2_12,0.3333333333333333
Boosting_200,m2_growth,0.24390243902439024
Boosting_200,oil_import_growth,0.23577235772357724
Boosting_200,epu,0.21951219512195122
Boosting_200,ip_crude_growth,0.17886178861788618
Boosting_200,OBV_1_12,0.16260162601626016
Boosting_200,OBV_1_9,0.14634146341463414
Boosting_200,OBV_3_12,0.13008130081300814
Boosting_200,MA_3_12,0.008130081300813009
Boosting_200,OBV_3_9,0.008130081300813009
Boosting_200,oil_prod_growth,0
Boosting_200,MOM_9,0
Boosting_300,MA_1_9,1
Boosting_300,MOM_1,1
Boosting_300,MOM_6,1
Boosting_300,OBV_2_9,1
Boosting_300,unrate_change,0.991869918699187
Boosting_300,MOM_3,0.983739837398374
Boosting_300,cfnai,0.9349593495934959
Boosting_300,oil_stock_growth,0.8699186991869918
Boosting_300,inflation,0.8536585365853658
Boosting_300,svar,0.8455284552845529
Boosting_300,MOM_2,0.8455284552845529
Boosting_300,MOM_12,0.7560975609756098
Boosting_300,MA_1_12,0.6422764227642277
Boosting_300,OBV_2_12,0.5772357723577236
Boosting_300,MA_2_9,0.5691056910569106
Boosting_300,MA_3_9,0.5447154471544715
Boosting_300,capacity_util,0.5121951219512195
Boosting_300,tbill,0.4634146341463415
Boosting_300,kilian,0.4634146341463415
Boosting_300,long_yield,0.4146341463414634
Boosting_300,epu,0.4065040650406504
Boosting_300,MA_2_12,0.36585365853658536
Boosting_300,m2_growth,0.3333333333333333
Boosting_300,oil_import_growth,0.2926829268292683
Boosting_300,OBV_1_9,0.21138211382113822
Boosting_300,OBV_1_12,0.2032520325203252
Boosting_300,ip_crude_growth,0.17886178861788618
Boosting_300,OBV_3_12,0.16260162601626016
Boosting_300,oil_prod_growth,0.15447154471544716
Boosting_300,MA_3_12,0.11382113821138211
Boosting_300,MOM_9,0.08130081300813008
Boosting_300,OBV_3_9,0.07317073170731707
