variable,frequency
MOM_1,1
MOM_2,1
MOM_6,1
svar,0.9512195121951219
MOM_3,0.943089430894309
MA_2_9,0.7886178861788617
OBV_1_9,0.7804878048780488
cfnai,0.7560975609756098
m2_growth,0.6910569105691057
OBV_2_12,0.6097560975609756
unrate_change,0.5772357723577236
MA_1_9,0.36585365853658536
ip_crude_growth,0.3170731707317073
oil_prod_growth,0.21951219512195122
inflation,0.21138211382113822
OBV_1_12,0.21138211382113822
MA_1_12,0.1951219512195122
oil_import_growth,0.14634146341463414
epu,0.13008130081300814
kilian,0.04878048780487805
oil_stock_growth,0.04065040650406504
tbill,0.008130081300813009
OBV_2_9,0.008130081300813009
long_yield,0
capacity_util,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_3_9,0
OBV_3_12,0
