variable,frequency
MA_1_9,1
MOM_1,1
MOM_6,1
OBV_2_9,1
unrate_change,0.991869918699187
MOM_3,0.983739837398374
cfnai,0.9349593495934959
oil_stock_growth,0.8699186991869918
inflation,0.8536585365853658
svar,0.8455284552845529
MOM_2,0.8455284552845529
MOM_12,0.7560975609756098
MA_1_12,0.6422764227642277
OBV_2_12,0.5772357723577236
MA_2_9,0.5691056910569106
MA_3_9,0.5447154471544715
capacity_util,0.5121951219512195
tbill,0.4634146341463415
kilian,0.4634146341463415
long_yield,0.4146341463414634
epu,0.4065040650406504
MA_2_12,0.36585365853658536
m2_growth,0.3333333333333333
oil_import_growth,0.2926829268292683
OBV_1_9,0.21138211382113822
OBV_1_12,0.2032520325203252
ip_crude_growth,0.17886178861788618
OBV_3_12,0.16260162601626016
oil_prod_growth,0.15447154471544716
MA_3_12,0.11382113821138211
MOM_9,0.08130081300813008
OBV_3_9,0.07317073170731707
