variable,frequency
MOM_1,1
MOM_6,0.9024390243902439
MOM_2,0.8861788617886179
svar,0.7967479674796748
MOM_3,0.7479674796747967
cfnai,0.21138211382113822
inflation,0.2032520325203252
ip_crude_growth,0.15447154471544716
OBV_1_9,0.08130081300813008
oil_prod_growth,0.008130081300813009
oil_import_growth,0.008130081300813009
tbill,0
long_yield,0
epu,0
kilian,0
oil_stock_growth,0
m2_growth,0
unrate_change,0
capacity_util,0
MA_1_9,0
MA_1_12,0
MA_2_9,0
MA_2_12,0
MA_3_9,0
MA_3_12,0
MOM_9,0
MOM_12,0
OBV_1_12,0
OBV_2_9,0
OBV_2_12,0
OBV_3_9,0
OBV_3_12,0
